lambda,champion,best_pool,best_pool_point_score,best_pool_objective_score,best_pool_member,top_pool_appearances,top_pool_share,mid_pickrate,offmeta_penalty,low_pickrate_penalty,importance_ratio_penalty,lolalytics_penalty,lolalytics_available,lolalytics_breadth,lolalytics_depth,lolalytics_classification,specialist_heuristic_flag,lolalytics_source_url,lolalytics_extraction_date,lolalytics_pickrate_scope,lolalytics_depth_scope
0.0,Zoe,"Pantheon, Sion, Xerath",0.5423093552212241,0.5423093552212241,False,0,0.0,0.0334,0.3333333333333333,0.0,0.0,1.0,True,0.79,1.22,niche,True,https://lolalytics.com/lol/zoe/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days
0.001,Ahri,"Pantheon, Sion, Xerath",0.5423093552212241,0.5419435807409299,False,0,0.0,0.1125,0.0,0.0,0.0,0.0,True,2.43,0.97,broad,False,https://lolalytics.com/lol/ahri/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days
0.001,Akali,"Pantheon, Sion, Xerath",0.5423093552212241,0.5419435807409299,False,0,0.0,0.0674,0.013333333333333345,0.0,0.0,0.040000000000000036,True,2.13,1.02,popular,False,https://lolalytics.com/lol/akali/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days
0.001,Akshan,"Pantheon, Sion, Xerath",0.5423093552212241,0.5419435807409299,False,3,0.15,0.0248,0.4598895335781196,0.0,0.37966860073435876,1.0,True,0.53,1.33,niche,True,https://lolalytics.com/lol/akshan/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days
0.001,Anivia,"Pantheon, Sion, Xerath",0.5423093552212241,0.5419435807409299,False,2,0.1,0.0332,0.4189005511051242,0.0,0.2567016533153725,1.0,True,0.89,1.05,niche,True,https://lolalytics.com/lol/anivia/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days
0.001,Annie,"Pantheon, Sion, Xerath",0.5423093552212241,0.5419435807409299,False,1,0.05,0.0232,0.06892570765952254,0.0,0.2067771229785676,0.0,True,0.55,0.85,unpopular,False,https://lolalytics.com/lol/annie/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days
0.001,Aurelion Sol,"Pantheon, Sion, Xerath",0.5423093552212241,0.5419435807409299,False,4,0.2,0.0305,0.47996291556493015,0.0,0.4398887466947905,1.0,True,0.83,1.28,niche,True,https://lolalytics.com/lol/aurelionsol/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days
0.001,Aurora,"Pantheon, Sion, Xerath",0.5423093552212241,0.5419435807409299,False,0,0.0,0.034300000000000004,0.0,0.0,0.0,0.0,True,0.78,0.96,unpopular,False,https://lolalytics.com/lol/aurora/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days
0.001,Azir,"Pantheon, Sion, Xerath",0.5423093552212241,0.5419435807409299,False,0,0.0,0.0229,0.3333333333333333,0.0,0.0,1.0,True,0.43,1.09,niche,True,https://lolalytics.com/lol/azir/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days
0.001,Brand,"Pantheon, Sion, Xerath",0.5423093552212241,0.5419435807409299,False,0,0.0,0.0116,0.1466666666666667,0.42000000000000004,0.0,0.020000000000000018,True,1.6,1.01,popular,False,https://lolalytics.com/lol/brand/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days
0.001,Cassiopeia,"Pantheon, Sion, Xerath",0.5423093552212241,0.5419435807409299,False,0,0.0,0.013000000000000001,0.11666666666666665,0.35,0.0,0.0,True,0.37,0.88,unpopular,False,https://lolalytics.com/lol/cassiopeia/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days
0.001,Cho'Gath,"Pantheon, Sion, Xerath",0.5423093552212241,0.5419435807409299,False,0,0.0,0.0055000000000000005,0.24166666666666667,0.725,0.0,0.0,True,0.96,0.91,unpopular,False,https://lolalytics.com/lol/chogath/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days
0.001,Diana,"Pantheon, Sion, Xerath",0.5423093552212241,0.5419435807409299,False,1,0.05,0.038,0.10179054941261535,0.0,0.14537164823784593,0.16000000000000014,True,1.85,1.08,popular,False,https://lolalytics.com/lol/diana/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days
0.001,Ekko,"Pantheon, Sion, Xerath",0.5423093552212241,0.5419435807409299,False,0,0.0,0.0302,0.0866666666666666,0.0,0.0,0.2599999999999998,True,1.48,1.13,popular,False,https://lolalytics.com/lol/ekko/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days
0.001,Fizz,"Pantheon, Sion, Xerath",0.5423093552212241,0.5419435807409299,False,2,0.1,0.051399999999999994,0.17760959834614806,0.0,0.19282879503844433,0.33999999999999986,True,1.56,1.17,popular,True,https://lolalytics.com/lol/fizz/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days
0.001,Galio,"Pantheon, Sion, Xerath",0.5423093552212241,0.5419435807409299,False,0,0.0,0.0358,0.0,0.0,0.0,0.0,True,0.98,0.8,unpopular,False,https://lolalytics.com/lol/galio/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days
0.001,Hwei,"Pantheon, Sion, Xerath",0.5423093552212241,0.5419435807409299,False,1,0.05,0.0323,0.38798771229930534,0.0,0.16396313689791597,1.0,True,0.77,1.19,niche,True,https://lolalytics.com/lol/hwei/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days
0.001,Irelia,"Pantheon, Sion, Xerath",0.5423093552212241,0.5419435807409299,False,0,0.0,0.0273,0.0733333333333334,0.0,0.0,0.2200000000000002,True,1.54,1.11,popular,False,https://lolalytics.com/lol/irelia/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days
